"variable","descripcion","tipo","categorias_codigos"
"id","Identificador único del encuestado","Numérico","[1-N] Número correlativo"
"distrito","Distrito de residencia en Arequipa","Categórico","1=Alto Selva Alegre, 2=Arequipa Cercado, 3=Cayma, 4=Cerro Colorado, 5=José Luis Bustamante y Rivero, 6=Mariano Melgar, 7=La Joya, 8=Miraflores, 9=Paucarpata, 10=Sachaca, 11=Socabaya, 12=Yanahuara, 13=Yura"
"sexo","Sexo del encuestado","Categórico","Hombre, Mujer"
"edad_rango","Rango de edad del encuestado","Categórico","18-24, 25-34, 35-44, 45-54, 55-70"
"nse","Nivel Socioeconómico del encuestado","Categórico","A/B, C, D/E"
"zona","Zona de residencia","Categórico","Urbana, Rural"
"voto_presidente","Intención de voto para Presidente","Categórico","Rafael López Aliaga, Keiko Fujimori, Alfonso López Chau, Carlos Álvarez, Wolfgang Grozo, César Acuña, Roberto Sánchez, Yonhy Lescano, Otro, Voto blanco, Voto nulo, No sabe"
"voto_diputado","Intención de voto para Congreso (Diputados)","Categórico","Ahora Nación, País para Todos, Fuerza Popular, Renovación Popular, Otro, Blanco, Nulo, No sabe"
"voto_senado","Intención de voto para Congreso (Senado)","Categórico","Ahora Nación, País para Todos, Fuerza Popular, Renovación Popular, Otro, Blanco, Nulo, No sabe"
"peso","Factor de ponderación muestral (Raking)","Numérico","Valores ponderados que igualan la muestra a la población"
