"id","distrito","sexo","edad_rango","nse","voto_presidente","voto_diputado","voto_senado","peso"
1,"Paucarpata","Mujer","25-34","A/B","José Luna Gálvez","N.S/N.O","N.S/N.O",1
2,"Yanahuara","Mujer","18-24","D/E","N.S/N.O","Otros","Gustavo Rondón Fudinaga",1
3,"Yura","Mujer","45-54","A/B","Carlos Álvarez Loayza","Nicolas Talavera Benavente","A. Elmer Arenas Pérez",1
4,"Alto Selva Alegre","Hombre","55-70","D/E","Carlos Álvarez Loayza","N.S/N.O","N.S/N.O",1
5,"Alto Selva Alegre","Mujer","25-34","A/B","N.S/N.O","Guido del Carpio Rodriguez","Otros",1
6,"José Luis Bustamante y Rivero","Hombre","45-54","D/E","N.S/N.O","Otros","N.S/N.O",1
7,"Paucarpata","Hombre","45-54","A/B","Roberto Sánchez Palomino","N.S/N.O","Ricardo Ramírez del Villar",1
8,"Mariano Melgar","Mujer","18-24","C","N.S/N.O","N.S/N.O","N.S/N.O",1
9,"Cerro Colorado","Mujer","35-44","D/E","Roberto Sánchez Palomino","N.S/N.O","N.S/N.O",1
10,"Miraflores","Hombre","25-34","C","Cesar Acuña Peralta","Cosme Huaman Sánchez","N.S/N.O",1
11,"Paucarpata","Hombre","55-70","C","Otros","Mauricio Alosilla Chambi","N.S/N.O",1
12,"José Luis Bustamante y Rivero","Mujer","55-70","C","N.S/N.O","Guido del Carpio Rodriguez","N.S/N.O",1
13,"Alto Selva Alegre","Hombre","25-34","D/E","Pablo López Chau","Otros","A. Elmer Arenas Pérez",1
14,"Miraflores","Hombre","45-54","A/B","N.S/N.O","Adolfo Donayre Sarolli","A. Elmer Arenas Pérez",1
15,"Arequipa Cercado","Hombre","45-54","D/E","N.S/N.O","Adolfo Donayre Sarolli","N.S/N.O",1
16,"José Luis Bustamante y Rivero","Mujer","18-24","D/E","N.S/N.O","Nicolas Talavera Benavente","Sergio Davila Vizcarra",1
17,"Cerro Colorado","Mujer","35-44","D/E","N.S/N.O","Marleny Arminta Valencia","Otros",1
18,"Paucarpata","Hombre","55-70","C","N.S/N.O","Otros","N.S/N.O",1
19,"Cerro Colorado","Hombre","35-44","C","Otros","Otros","A. Elmer Arenas Pérez",1
20,"Yura","Mujer","35-44","A/B","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
21,"Paucarpata","Mujer","25-34","D/E","Otros","N.S/N.O","Gustavo Rondón Fudinaga",1
22,"Alto Selva Alegre","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
23,"José Luis Bustamante y Rivero","Mujer","45-54","C","Otros","N.S/N.O","N.S/N.O",1
24,"Miraflores","Hombre","55-70","D/E","Wolfgang Grozo Costa","Guido del Carpio Rodriguez","A. Elmer Arenas Pérez",1
25,"Cayma","Hombre","18-24","C","Wolfgang Grozo Costa","N.S/N.O","N.S/N.O",1
26,"Paucarpata","Mujer","45-54","D/E","N.S/N.O","N.S/N.O","Otros",1
27,"Cerro Colorado","Mujer","25-34","C","Wolfgang Grozo Costa","N.S/N.O","Sergio Davila Vizcarra",1
28,"Mariano Melgar","Hombre","25-34","A/B","Pablo López Chau","N.S/N.O","N.S/N.O",1
29,"Miraflores","Hombre","45-54","D/E","Otros","Cosme Huaman Sánchez","N.S/N.O",1
30,"Arequipa Cercado","Hombre","45-54","D/E","N.S/N.O","Marleny Arminta Valencia","Otros",1
31,"Mariano Melgar","Hombre","25-34","C","Pablo López Chau","N.S/N.O","N.S/N.O",1
32,"Arequipa Cercado","Mujer","45-54","A/B","Otros","Mauricio Alosilla Chambi","N.S/N.O",1
33,"Miraflores","Hombre","35-44","C","N.S/N.O","Mauricio Alosilla Chambi","Otros",1
34,"Yanahuara","Mujer","45-54","C","Otros","N.S/N.O","N.S/N.O",1
35,"Cayma","Mujer","55-70","A/B","N.S/N.O","N.S/N.O","N.S/N.O",1
36,"Cerro Colorado","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","A. Elmer Arenas Pérez",1
37,"Cerro Colorado","Hombre","35-44","D/E","N.S/N.O","Otros","Sergio Davila Vizcarra",1
38,"Socabaya","Mujer","35-44","D/E","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
39,"Yanahuara","Mujer","18-24","C","Otros","N.S/N.O","N.S/N.O",1
40,"Arequipa Cercado","Mujer","55-70","D/E","Otros","Mauricio Alosilla Chambi","Sergio Davila Vizcarra",1
41,"Paucarpata","Mujer","18-24","D/E","N.S/N.O","Mauricio Alosilla Chambi","N.S/N.O",1
42,"Cerro Colorado","Hombre","35-44","D/E","N.S/N.O","N.S/N.O","Otros",1
43,"Cayma","Hombre","25-34","C","Otros","N.S/N.O","Otros",1
44,"Cerro Colorado","Mujer","45-54","C","N.S/N.O","Otros","Otros",1
45,"Mariano Melgar","Hombre","45-54","D/E","N.S/N.O","Esdras Medina Minaya","N.S/N.O",1
46,"Socabaya","Hombre","25-34","C","N.S/N.O","N.S/N.O","N.S/N.O",1
47,"La Joya","Mujer","35-44","D/E","N.S/N.O","N.S/N.O","Otros",1
48,"Paucarpata","Mujer","35-44","D/E","N.S/N.O","Adolfo Donayre Sarolli","N.S/N.O",1
49,"Mariano Melgar","Hombre","55-70","C","N.S/N.O","N.S/N.O","N.S/N.O",1
50,"Arequipa Cercado","Mujer","45-54","A/B","N.S/N.O","Marleny Arminta Valencia","A. Elmer Arenas Pérez",1
51,"José Luis Bustamante y Rivero","Mujer","18-24","C","N.S/N.O","Amalia Palomino Pacheco","N.S/N.O",1
52,"Alto Selva Alegre","Mujer","18-24","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
53,"Cerro Colorado","Mujer","25-34","D/E","Otros","Amalia Palomino Pacheco","N.S/N.O",1
54,"Arequipa Cercado","Mujer","55-70","D/E","N.S/N.O","Mauricio Alosilla Chambi","N.S/N.O",1
55,"Paucarpata","Hombre","25-34","A/B","Roberto Sánchez Palomino","Marleny Arminta Valencia","N.S/N.O",1
56,"Socabaya","Mujer","18-24","C","Keiko Fujimori Higuchi","Otros","N.S/N.O",1
57,"Cayma","Hombre","18-24","C","Wolfgang Grozo Costa","Marleny Arminta Valencia","Otros",1
58,"Mariano Melgar","Hombre","45-54","D/E","N.S/N.O","Marleny Arminta Valencia","Yobana Huisa Vargas",1
59,"Paucarpata","Mujer","18-24","C","Otros","N.S/N.O","Ricardo Ramírez del Villar",1
60,"Arequipa Cercado","Mujer","55-70","D/E","Rafael López Aliaga","Otros","Ricardo Ramírez del Villar",1
61,"Yura","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","Yobana Huisa Vargas",1
62,"Cayma","Mujer","55-70","D/E","Pablo López Chau","N.S/N.O","Sergio Davila Vizcarra",1
63,"Paucarpata","Hombre","35-44","A/B","Rafael López Aliaga","N.S/N.O","N.S/N.O",1
64,"Cayma","Mujer","45-54","A/B","N.S/N.O","Esdras Medina Minaya","N.S/N.O",1
65,"Socabaya","Mujer","35-44","A/B","N.S/N.O","Esdras Medina Minaya","Gustavo Rondón Fudinaga",1
66,"Paucarpata","Mujer","35-44","A/B","N.S/N.O","N.S/N.O","N.S/N.O",1
67,"Alto Selva Alegre","Mujer","18-24","D/E","N.S/N.O","Esdras Medina Minaya","N.S/N.O",1
68,"José Luis Bustamante y Rivero","Mujer","25-34","D/E","N.S/N.O","Nicolas Talavera Benavente","Gustavo Rondón Fudinaga",1
69,"Paucarpata","Mujer","45-54","D/E","Cesar Acuña Peralta","Otros","N.S/N.O",1
70,"Miraflores","Hombre","25-34","C","Otros","Esdras Medina Minaya","Yobana Huisa Vargas",1
71,"Yura","Mujer","45-54","C","Rafael López Aliaga","N.S/N.O","N.S/N.O",1
72,"Paucarpata","Hombre","55-70","C","N.S/N.O","Cosme Huaman Sánchez","Ricardo Ramírez del Villar",1
73,"Cayma","Hombre","45-54","D/E","Carlos Álvarez Loayza","Mauricio Alosilla Chambi","N.S/N.O",1
74,"Mariano Melgar","Hombre","55-70","C","N.S/N.O","N.S/N.O","N.S/N.O",1
75,"Arequipa Cercado","Hombre","18-24","C","N.S/N.O","N.S/N.O","N.S/N.O",1
76,"Arequipa Cercado","Mujer","35-44","C","N.S/N.O","Otros","Sergio Davila Vizcarra",1
77,"Mariano Melgar","Hombre","18-24","C","Roberto Sánchez Palomino","Marleny Arminta Valencia","N.S/N.O",1
78,"Paucarpata","Hombre","45-54","C","Carlos Álvarez Loayza","Adolfo Donayre Sarolli","Gustavo Rondón Fudinaga",1
79,"Yura","Mujer","45-54","D/E","Otros","N.S/N.O","Ricardo Ramírez del Villar",1
80,"Paucarpata","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
81,"Miraflores","Hombre","35-44","C","Rafael López Aliaga","Marleny Arminta Valencia","Otros",1
82,"Paucarpata","Hombre","25-34","D/E","N.S/N.O","Esdras Medina Minaya","Otros",1
83,"Miraflores","Mujer","18-24","A/B","Otros","N.S/N.O","A. Elmer Arenas Pérez",1
84,"Yanahuara","Mujer","25-34","A/B","Otros","Amalia Palomino Pacheco","N.S/N.O",1
85,"Arequipa Cercado","Mujer","35-44","D/E","N.S/N.O","Guido del Carpio Rodriguez","N.S/N.O",1
86,"Miraflores","Mujer","25-34","C","Otros","Otros","Ricardo Ramírez del Villar",1
87,"Paucarpata","Hombre","18-24","D/E","José Luna Gálvez","Amalia Palomino Pacheco","N.S/N.O",1
88,"Miraflores","Mujer","25-34","D/E","N.S/N.O","Cosme Huaman Sánchez","N.S/N.O",1
89,"Arequipa Cercado","Hombre","45-54","C","Carlos Álvarez Loayza","N.S/N.O","Otros",1
90,"Cerro Colorado","Hombre","35-44","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
91,"Miraflores","Hombre","55-70","D/E","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
92,"Socabaya","Hombre","25-34","C","N.S/N.O","N.S/N.O","N.S/N.O",1
93,"Yanahuara","Hombre","35-44","D/E","Roberto Sánchez Palomino","Otros","Otros",1
94,"Cayma","Hombre","25-34","C","Otros","Esdras Medina Minaya","N.S/N.O",1
95,"Mariano Melgar","Mujer","25-34","D/E","Wolfgang Grozo Costa","Otros","N.S/N.O",1
96,"Cerro Colorado","Hombre","18-24","C","Pablo López Chau","N.S/N.O","N.S/N.O",1
97,"Mariano Melgar","Hombre","55-70","D/E","N.S/N.O","Otros","Gustavo Rondón Fudinaga",1
98,"Socabaya","Hombre","55-70","C","Carlos Álvarez Loayza","Otros","N.S/N.O",1
99,"Paucarpata","Mujer","25-34","D/E","Wolfgang Grozo Costa","Otros","N.S/N.O",1
100,"Cerro Colorado","Mujer","35-44","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
101,"Mariano Melgar","Mujer","25-34","C","Carlos Álvarez Loayza","N.S/N.O","N.S/N.O",1
102,"Cayma","Mujer","35-44","D/E","Keiko Fujimori Higuchi","Otros","N.S/N.O",1
103,"Cayma","Hombre","18-24","D/E","Wolfgang Grozo Costa","Otros","N.S/N.O",1
104,"José Luis Bustamante y Rivero","Mujer","45-54","A/B","N.S/N.O","Guido del Carpio Rodriguez","N.S/N.O",1
105,"Cayma","Mujer","18-24","D/E","Otros","N.S/N.O","N.S/N.O",1
106,"Arequipa Cercado","Mujer","45-54","D/E","Otros","N.S/N.O","N.S/N.O",1
107,"Paucarpata","Mujer","25-34","C","N.S/N.O","N.S/N.O","N.S/N.O",1
108,"Socabaya","Mujer","55-70","D/E","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
109,"Paucarpata","Mujer","35-44","C","Rafael López Aliaga","Mauricio Alosilla Chambi","N.S/N.O",1
110,"Cayma","Mujer","18-24","A/B","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
111,"José Luis Bustamante y Rivero","Hombre","35-44","C","Carlos Álvarez Loayza","Otros","N.S/N.O",1
112,"Yura","Mujer","25-34","A/B","N.S/N.O","N.S/N.O","N.S/N.O",1
113,"Alto Selva Alegre","Hombre","45-54","D/E","Pablo López Chau","Otros","Sergio Davila Vizcarra",1
114,"Cerro Colorado","Hombre","35-44","C","Otros","Adolfo Donayre Sarolli","N.S/N.O",1
115,"Cayma","Hombre","25-34","C","José Luna Gálvez","N.S/N.O","Otros",1
116,"Alto Selva Alegre","Hombre","45-54","D/E","Otros","Otros","Sergio Davila Vizcarra",1
117,"Yanahuara","Hombre","18-24","C","Cesar Acuña Peralta","N.S/N.O","Otros",1
118,"Cerro Colorado","Mujer","35-44","D/E","José Luna Gálvez","N.S/N.O","N.S/N.O",1
119,"Cerro Colorado","Hombre","35-44","C","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
120,"Mariano Melgar","Mujer","35-44","D/E","José Luna Gálvez","N.S/N.O","N.S/N.O",1
121,"Cerro Colorado","Mujer","35-44","C","Pablo López Chau","N.S/N.O","Otros",1
122,"Miraflores","Hombre","45-54","D/E","N.S/N.O","Mauricio Alosilla Chambi","Gustavo Rondón Fudinaga",1
123,"Cerro Colorado","Mujer","18-24","D/E","Pablo López Chau","Otros","Ricardo Ramírez del Villar",1
124,"Mariano Melgar","Hombre","18-24","C","Pablo López Chau","Guido del Carpio Rodriguez","Yobana Huisa Vargas",1
125,"José Luis Bustamante y Rivero","Mujer","55-70","C","Pablo López Chau","N.S/N.O","N.S/N.O",1
126,"Arequipa Cercado","Mujer","35-44","A/B","Otros","Esdras Medina Minaya","N.S/N.O",1
127,"Cerro Colorado","Mujer","55-70","C","N.S/N.O","Mauricio Alosilla Chambi","A. Elmer Arenas Pérez",1
128,"Yura","Hombre","25-34","C","Rafael López Aliaga","N.S/N.O","Gustavo Rondón Fudinaga",1
129,"Cerro Colorado","Hombre","45-54","A/B","Pablo López Chau","Otros","N.S/N.O",1
130,"Arequipa Cercado","Mujer","18-24","C","Pablo López Chau","N.S/N.O","N.S/N.O",1
131,"Cerro Colorado","Hombre","55-70","C","N.S/N.O","N.S/N.O","A. Elmer Arenas Pérez",1
132,"Cerro Colorado","Hombre","18-24","D/E","Otros","Otros","N.S/N.O",1
133,"Yura","Mujer","55-70","C","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
134,"Cerro Colorado","Hombre","25-34","C","N.S/N.O","Otros","N.S/N.O",1
135,"La Joya","Hombre","45-54","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
136,"Paucarpata","Mujer","45-54","A/B","Otros","Otros","Otros",1
137,"Socabaya","Hombre","35-44","C","Otros","Otros","N.S/N.O",1
138,"Socabaya","Hombre","18-24","D/E","N.S/N.O","Guido del Carpio Rodriguez","N.S/N.O",1
139,"Miraflores","Hombre","45-54","C","Rafael López Aliaga","Otros","N.S/N.O",1
140,"Cerro Colorado","Hombre","45-54","D/E","Rafael López Aliaga","Otros","Otros",1
141,"Mariano Melgar","Hombre","25-34","D/E","Otros","Otros","N.S/N.O",1
142,"Arequipa Cercado","Mujer","18-24","D/E","Otros","Otros","A. Elmer Arenas Pérez",1
143,"Mariano Melgar","Mujer","18-24","C","N.S/N.O","N.S/N.O","Otros",1
144,"Socabaya","Hombre","18-24","C","Otros","N.S/N.O","N.S/N.O",1
145,"Miraflores","Hombre","35-44","D/E","N.S/N.O","Otros","Yobana Huisa Vargas",1
